Sno,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Daily Return,Daily Price Range,Daily Volatility,Volatility (%),7-Day MA,30-Day MA,Month
32,Aave,AAVE,2020-05-11 23:59:00,32.3030396,25.96615498,27.7150798,30.95562668,85212411.64,350205472.9,0.11692341534694872,6.336884619999999,0.2286439247416491,22.86439247416491,35.57167603,,5
33,Aave,AAVE,2020-06-11 23:59:00,40.76907497,30.8551283,30.95511845,38.45744081,147304661.0,435876358.2,0.24234089031855444,9.913946669999998,0.32026841331631206,32.0268413316312,33.971206755714284,,6
34,Aave,AAVE,2020-07-11 23:59:00,51.42799241,38.45744081,38.45744081,44.60489962,200580053.6,507707213.2,0.15985095941177363,12.9705516,0.3372702740174873,33.727027401748735,32.88066495571429,,7
35,Aave,AAVE,2020-08-11 23:59:00,54.78636021,42.86425511,44.60489961,53.74937894,174706008.6,613014913.9,0.20501064676535652,11.922105099999996,0.2672824107719138,26.728241077191377,36.17953674285714,,8
36,Aave,AAVE,2020-09-11 23:59:00,58.36411095,49.86012895,53.74937384,54.88649964,386011347.7,626843328.1,0.021155978402454867,8.503982,0.15821546173383294,15.821546173383293,39.77310475142857,,9
37,Aave,AAVE,2020-10-11 23:59:00,70.30982523,53.17903589,54.88650532,67.00111098,433793206.5,780700254.1,0.22072115036410822,17.13078934,0.31211295454363247,31.211295454363245,45.33857729,,10
38,Aave,AAVE,2020-11-11 23:59:00,68.77859822,53.71675388,67.00111108,54.69964668,354136841.3,638025534.6,-0.1836009003443544,15.061844340000007,0.22479991894486664,22.479991894486666,49.19351476428572,,11
39,Aave,AAVE,2020-12-11 23:59:00,59.61831483,50.52310167,54.69962256,51.63241804,244505561.5,603421827.6,-0.05607401192083905,9.09521316,0.16627561095185736,16.627561095185737,52.14734210142857,,12
58,Aave,AAVE,2020-01-12 23:59:00,78.86189102,70.94403421,76.42472206,74.86836458,268968536.9,891921516.0,0.45002630947864874,7.9178568100000035,0.10360334452749208,10.360334452749207,57.348902640000006,,1
59,Aave,AAVE,2020-02-12 23:59:00,89.93801025,72.4543506,74.8611544,86.32324982,410949897.5,1029525776.0,0.15300034005364127,17.483659650000007,0.23354782316848705,23.354782316848706,63.308666954285705,,2
60,Aave,AAVE,2020-03-12 23:59:00,94.06976137,83.21397488,86.38082732,91.67564477,390370348.4,1093762157.0,0.06200409462295209,10.85578649,0.12567356468796553,12.567356468796554,68.72670493,,3
61,Aave,AAVE,2020-04-12 23:59:00,92.73576711,80.18386018,91.68452862,81.6418197,344330864.1,974344644.0,-0.10944919007849163,12.551906930000001,0.13690321713953751,13.690321713953752,72.54889351,,4
62,Aave,AAVE,2020-05-12 23:59:00,91.92059987,79.94649654,81.58988912,91.92059987,321071928.2,1097810892.0,0.12590091950143045,11.974103330000005,0.14675964704877645,14.675964704877645,76.10882049428571,,5
63,Aave,AAVE,2020-06-12 23:59:00,92.73346394,84.95069045,91.94666405,87.95642649,261643152.8,1051203169.0,-0.04312606081342374,7.782773489999997,0.08464443566726658,8.464443566726658,80.85978903857142,,6
64,Aave,AAVE,2020-07-12 23:59:00,94.70016225,86.90958728,87.95654066,90.9602979,299145687.7,1087477656.0,0.03415181277676771,7.790574970000009,0.08857300334394494,8.857300334394495,86.47805759,,7
65,Aave,AAVE,2020-08-12 23:59:00,91.09876956,78.20985346,90.95032482,79.94619074,376267574.8,956117556.5,-0.12108697326506879,12.888916099999989,0.14171379954396504,14.171379954396505,87.20346132714285,,8
66,Aave,AAVE,2020-09-12 23:59:00,86.12544951,75.09706845,79.92281871,82.11372218,357447824.0,982942930.0,0.027112379213278803,11.028381060000001,0.13798788929124844,13.798788929124845,86.60210023571427,,9
67,Aave,AAVE,2020-10-12 23:59:00,83.05117464,75.8590325,82.18282288,76.64575648,299977127.0,917596922.5,-0.06659015758674003,7.192142140000001,0.08751393403097961,8.75139340309796,84.45497333714286,57.78353138366666,10
68,Aave,AAVE,2020-11-12 23:59:00,78.34898133,70.70723382,76.62523273,74.72982934,314260628.6,894777251.9,-0.024997171767754067,7.641747510000002,0.09972886525417543,9.972886525417543,83.46754614285715,58.50055092966667,11
69,Aave,AAVE,2020-12-12 23:59:00,79.99834299,74.64877724,74.68163358,77.55488043,228308571.8,928807400.9,0.03780352658303032,5.3495657499999965,0.07163161132876757,7.163161132876756,81.41530050857143,59.67232699033333,12
89,Aave,AAVE,2021-01-01 23:59:00,90.34967103,85.12559659,87.54330564,90.34967103,202515778.5,1087592822.0,0.1649772461650354,5.224074439999995,0.059674173848114645,5.967417384811465,81.75719258571428,61.347850171000005,1
90,Aave,AAVE,2021-02-01 23:59:00,91.77162009,82.78576283,90.38482799,85.71284343,221843920.1,1032020483.0,-0.05132091292795482,8.985857260000003,0.09941776136360164,9.941776136360165,81.00755623285714,62.74612951666666,2
91,Aave,AAVE,2021-03-01 23:59:00,92.42910958,81.85337486,85.71298896,91.09664966,298884107.1,1097389994.0,0.06281212960105376,10.57573472,0.1233854384069539,12.33854384069539,82.60047893571428,64.22209303366667,3
92,Aave,AAVE,2021-04-01 23:59:00,111.8998736,88.20161002,91.2304962,111.1320379,619262373.1,1339476346.0,0.21993551151198298,23.698263580000003,0.25976251984914667,25.97625198491467,86.74595261,66.288703708,4
93,Aave,AAVE,2021-05-01 23:59:00,119.9577298,99.53225695,111.1510738,116.4538279,573305329.5,1404342547.0,0.04788709089262544,20.42547284999999,0.18376316261912704,18.376316261912702,92.43281995571428,68.51514044700001,5
94,Aave,AAVE,2021-06-01 23:59:00,119.8851618,109.8570489,116.5014983,115.0008124,392901334.3,1389419870.0,-0.012477181095736145,10.02811290000001,0.08607711528461957,8.607711528461957,98.18581753571428,70.60721111966667,6
95,Aave,AAVE,2021-07-01 23:59:00,125.1173602,110.9520892,114.9844515,114.9404468,467716121.2,1391148360.0,-0.0005249145526905474,14.16527099999999,0.12319292578440477,12.319292578440477,103.52661273142857,73.416650132,7
96,Aave,AAVE,2021-08-01 23:59:00,117.478677,100.9689669,114.8843104,111.70278,501393571.6,1352221085.0,-0.02816821136630554,16.509710100000007,0.143707265531012,14.370726553101202,106.57705687,76.14902534599999,8
97,Aave,AAVE,2021-09-01 23:59:00,118.9404717,106.4536553,111.7026296,117.6669629,337620867.8,1424946043.0,0.053393325573454886,12.48681640000001,0.11178623497687122,11.178623497687122,111.14193107999999,79.13649733566668,9
98,Aave,AAVE,2021-10-01 23:59:00,134.0995706,113.9309446,117.6701794,126.2006734,512402602.9,1528930606.0,0.07252426925688926,20.16862599999999,0.17139963670353672,17.139963670353673,116.15679161428571,82.41935030366668,10
99,Aave,AAVE,2021-11-01 23:59:00,126.1479992,95.15299713,126.1479992,115.6019521,610095319.1,1402127903.0,-0.08398308039456148,30.995002069999998,0.2457034773960965,24.570347739609648,116.79535078571428,85.24089448433334,11
100,Aave,AAVE,2021-12-01 23:59:00,132.7655629,109.9999468,115.4393042,126.0529592,541259410.6,1529400856.0,0.0904051091711624,22.76561609999999,0.19720853532310176,19.720853532310176,118.16665525714286,88.16074509733333,12
120,Aave,AAVE,2021-01-02 23:59:00,306.9905359,285.5661069,300.0366099,295.6613135,639510002.1,3643317248.0,1.3455325077366371,21.424428999999975,0.07140604943890208,7.140604943890208,143.97529827142858,96.52929222666668,1
121,Aave,AAVE,2021-02-02 23:59:00,303.1639967,285.1721389,295.7479877,301.1181913,752215469.9,3711117724.0,0.018456516124487843,17.99185779999999,0.06083509794917191,6.083509794917191,170.5721189142857,104.77491930533333,2
122,Aave,AAVE,2021-03-02 23:59:00,367.7925718,300.0275368,301.096449,365.5988563,1083942425.0,4506679201.0,0.21413739476058025,67.76503500000001,0.22506089070482532,22.50608907048253,206.84298695714284,115.13199786066666,3
123,Aave,AAVE,2021-04-02 23:59:00,506.8143028,366.3347369,366.3347369,466.4799454,2838572596.0,5754281219.0,0.27593382025577196,140.4795659,0.38347323294745955,38.347323294745955,256.6734130285714,128.447959008,4
124,Aave,AAVE,2021-05-02 23:59:00,534.4092033,463.8875001,465.2069585,506.7726418,1511505451.0,6253059939.0,0.08637605281283744,70.52170319999993,0.15159210736526404,15.159210736526404,311.0408370857143,143.51705884533334,5
125,Aave,AAVE,2021-06-02 23:59:00,509.1511721,443.6336791,506.3861505,472.3285319,1485662684.0,5832334571.0,-0.06796757965792777,65.517493,0.1293824740967121,12.938247409671211,362.0017770571429,157.54026264066667,6
126,Aave,AAVE,2021-07-02 23:59:00,479.9569027,399.0033373,472.6014638,461.5083374,1373619548.0,5700023387.0,-0.022908195819707045,80.9535654,0.17129351388183323,17.129351388183323,409.9239739428571,170.42826173466668,7
127,Aave,AAVE,2021-08-02 23:59:00,529.13674,458.580153,461.7961361,490.3420162,1711240053.0,6057557720.0,0.06247704854573222,70.55658700000004,0.15278730479616076,15.278730479616076,437.73550290000003,183.8955539473333,8
128,Aave,AAVE,2021-09-02 23:59:00,505.9428306,475.6519234,490.0114132,488.0018806,1165494592.0,6030579943.0,-0.004772455801636877,30.290907199999992,0.06181673810858084,6.181673810858084,464.4331728,197.106428475,9
129,Aave,AAVE,2021-10-02 23:59:00,559.1229443,486.48229,487.6995549,517.9682569,1880615394.0,6404109769.0,0.06140627217082906,72.6406543,0.14894550050367494,14.894550050367494,486.2002300285714,211.65064304833334,10
130,Aave,AAVE,2021-11-02 23:59:00,532.9362308,504.7816601,516.3264023,518.0725401,836675655.6,6409555495.0,0.00020133125652144201,28.154570699999965,0.05452862874062631,5.452862874062632,493.5706007,225.85570772266666,11
131,Aave,AAVE,2021-12-02 23:59:00,542.9430021,502.3366133,517.9062564,529.8961754,822757465.4,6558682804.0,0.02282235475695682,40.606388799999934,0.07840490107661101,7.8404901076611,496.8739626428572,240.58703268633334,12
148,Aave,AAVE,2021-01-03 23:59:00,386.4274253,344.8037147,345.1892844,385.4196888,743260217.0,4787397637.0,-0.2726505555374875,41.62371059999998,0.12058227900193758,12.058227900193758,484.45841362857146,250.40234571633334,1
149,Aave,AAVE,2021-02-03 23:59:00,411.887315,379.0346769,385.5891889,390.9262606,731511612.1,4855921768.0,0.014287209398006206,32.85263809999998,0.08520113905091901,8.520113905091902,474.37525980000004,260.768348045,2
150,Aave,AAVE,2021-03-03 23:59:00,413.6381068,385.8711329,390.9152563,396.3082772,428274369.6,4923743149.0,0.013767344746141275,27.766973899999982,0.07103067340684903,7.103067340684903,460.94186851428566,271.241499879,3
151,Aave,AAVE,2021-04-03 23:59:00,406.0121907,367.7866875,396.0171667,374.5669303,395856298.3,4653772702.0,-0.05485968411663544,38.22550319999999,0.09652486410761443,9.652486410761444,444.7368756142857,281.17220567299995,4
152,Aave,AAVE,2021-05-03 23:59:00,374.3633785,341.8335404,374.3239668,367.1255359,334832774.9,4562190923.0,-0.019866661464321034,32.529838100000006,0.08690289958745973,8.690289958745973,423.18791547142854,290.918729225,5
153,Aave,AAVE,2021-06-03 23:59:00,382.4529384,353.9175268,366.8160056,382.0195912,259155959.3,4747498176.0,0.04056937979943975,28.535411599999975,0.07779216600247493,7.779216600247493,403.7517799142857,301.06755291733333,6
154,Aave,AAVE,2021-07-03 23:59:00,407.7072503,378.1496075,382.1185929,407.1524714,587694984.9,5060997597.0,0.06578950603306133,29.557642799999996,0.07735201413697029,7.7352014136970295,386.21696505714283,311.62764626300003,7
155,Aave,AAVE,2021-08-03 23:59:00,431.0889962,388.7980857,407.2454357,430.6251097,578702449.8,5353291200.0,0.05765073270779597,42.290910499999995,0.10384624796913347,10.384624796913347,392.67488232857147,323.1247218053333,8
156,Aave,AAVE,2021-09-03 23:59:00,441.1753156,418.1665641,430.7820724,439.3295369,453095765.3,5461756101.0,0.02021346875490848,23.00875149999996,0.05341158087617752,5.341158087617752,399.58963608571423,334.7324847133333,9
157,Aave,AAVE,2021-10-03 23:59:00,450.2597929,402.4402492,439.1321779,408.2635191,530439445.7,5076097241.0,-0.07071233593627291,47.8195437,0.10889555834573697,10.889555834573697,401.2975277857143,344.63686742000004,10
158,Aave,AAVE,2021-11-03 23:59:00,411.6527563,389.2697888,407.4052523,403.5093276,396079584.3,5017241957.0,-0.011644908931565556,22.382967500000007,0.054940301760071364,5.494030176007136,405.4321559714286,354.20538407666663,11
159,Aave,AAVE,2021-12-03 23:59:00,406.4147367,362.8835137,403.5898634,374.7147105,427189383.7,4659635360.0,-0.07136047454284422,43.53122300000001,0.10786005038202852,10.786005038202852,406.5163237714286,362.86251401333334,12
179,Aave,AAVE,2021-01-04 23:59:00,385.2987216,369.9953181,377.1836866,377.6117993,342371946.9,4706655286.0,0.007731452005538264,15.303403500000002,0.04057281384024736,4.057281384024735,405.88663921428576,371.6182257633334,1
180,Aave,AAVE,2021-02-04 23:59:00,408.4799128,374.2909219,377.5146611,406.6923031,480081712.8,5069254861.0,0.07701163960953594,34.18899090000002,0.09056334607079984,9.056334607079984,405.82090088571425,381.4512098666666,2
181,Aave,AAVE,2021-03-04 23:59:00,411.377078,385.4158982,406.883591,385.4205719,395544800.6,4806154260.0,-0.052304238457076324,25.961179799999968,0.06380493186317746,6.380493186317746,399.3631097714286,390.37633016666666,3
182,Aave,AAVE,2021-04-04 23:59:00,409.5795235,382.7888631,385.5269708,404.3097351,330959728.9,5042122935.0,0.049009224149303865,26.79066039999998,0.06949101471268578,6.949101471268578,394.3602809428572,399.6466322233333,4
183,Aave,AAVE,2021-05-04 23:59:00,407.3293056,388.3003512,404.3929527,397.9245594,306918909.4,4962595819.0,-0.01579278247757432,19.028954399999975,0.047055603399984706,4.7055603399984705,392.88328670000004,409.05738579999996,5
184,Aave,AAVE,2021-06-04 23:59:00,414.4697011,381.0502071,398.2253827,383.9899425,429756591.5,4788997765.0,-0.03501823793186065,33.419493999999986,0.08392105438737515,8.392105438737515,390.0948031142857,417.6552852433333,6
185,Aave,AAVE,2021-07-04 23:59:00,387.9249373,343.9576636,384.014659,350.995831,479760253.9,4378934905.0,-0.08592441584586552,43.96727370000002,0.1144937378549396,11.449373785493961,386.70639175714285,419.49976916,7
186,Aave,AAVE,2021-08-04 23:59:00,377.9311927,349.1247067,351.3876765,377.9311927,261822849.2,4715193942.0,0.07673983369905035,28.806486000000007,0.08197921534109352,8.197921534109351,386.7520193857143,422.06020254000003,8
187,Aave,AAVE,2021-09-04 23:59:00,379.1802812,357.8914779,377.932188,359.4835743,187074856.6,4485870792.0,-0.04881210854337614,21.28880330000004,0.056329690817443795,5.632969081744379,380.00791527142854,421.85635980666666,9
